19.08.2026 22:12:34 : Logging started
19.08.2026 22:12:35 : INFO : Successfully imported the Active Directory module.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Setting owner of 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully set owner of 'AD:\CN=EnrollmentAgentOffline,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully added Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Setting owner of 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully set owner of 'AD:\CN=ExchangeUser,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab' to 'VMM\DELEG_PKI-Template-Admin'.
19.08.2026 22:12:38 : INFO : Successfully retrieved ACL for 'AD:\CN=ExchangeUserSignature,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
19.08.2026 22:12:38 : INFO : Adding Full Control to pkiCertificateTemplate objects access rule for 'VMM\DELEG_PKI-Template-Admin' to 'AD:\CN=ExchangeUserSignature,CN=Certificate Templates,CN=Public Key Services,CN=Services,CN=Configuration,DC=vmm,DC=lab'.
